Nome,Sobrenome,Email,Endereço,Data de Nascimento,Sexo,CPF
Maria Cecília,da Luz,ana-beatrizdas-neves@fernandes.com,"Pátio de Porto
Alípio De Melo
22682895 Cunha do Oeste / PB",23/12/1979,Masculino,036.148.275-26
Noah,Fogaça,xsantos@bol.com.br,"Largo de Ferreira, 1
Chácara Leonina
84683-313 Cavalcanti / AM",20/01/2003,Masculino,860.721.359-86
Isabel,Duarte,pereirathiago@bol.com.br,"Vereda João Lucas Cardoso, 67
Vila Nova Gameleira 3ª Seção
32426768 Moraes das Flores / PI",31/10/2003,Feminino,740.319.265-61
Milena,Monteiro,brunooliveira@ribeiro.net,"Feira Freitas, 1
Vila Ipiranga
74806-831 Costela da Mata / SC",24/04/1979,Feminino,698.042.517-01
Sofia,Lopes,theo31@novaes.br,"Alameda Nunes, 99
São Jorge 3ª Seção
34149552 Monteiro do Amparo / RR",15/06/1943,Feminino,702.864.153-80
Marcos Vinicius,Moreira,bcarvalho@ig.com.br,"Ladeira Nicolas Castro, 30
Engenho Nogueira
21625048 Peixoto do Oeste / AL",04/12/1977,Feminino,946.807.123-50
Lara,Silveira,vcosta@ribeiro.com,"Área Lucas Gabriel Pereira, 9
Carlos Prates
10842-089 Duarte / RS",16/10/1997,Feminino,480.361.792-96
Ana Julia,Azevedo,bruna34@silveira.net,"Viaduto Azevedo, 715
Aparecida
75400-099 Moura do Oeste / ES",27/09/1977,Feminino,654.837.091-01
Enzo Gabriel,Aragão,sarahbarbosa@uol.com.br,"Morro Nascimento, 9
Varzea Da Palma
69957344 Cardoso / AC",26/12/1976,Feminino,108.293.754-14
Gustavo Henrique,Costela,eduardofernandes@carvalho.br,"Jardim Yasmin Cunha, 52
Marilandia
40353327 Pereira de Porto / PA",04/12/1952,Masculino,738.156.402-53
Camila,Cavalcanti,lopeserick@gmail.com,"Pátio de Nunes
São Lucas
32963356 da Rosa da Serra / MS",03/09/1945,Masculino,097.831.426-31
Ana Beatriz,Rodrigues,lorena80@hotmail.com,"Rua Vitória Viana, 7
Calafate
75122-903 Novaes / RJ",27/08/1991,Masculino,397.681.250-12
Sophie,Lopes,wda-mota@da.com,"Vila Juan da Paz, 49
Miramar
46507680 Souza / MS",10/08/1974,Feminino,053.279.684-56
Davi,Mendes,ana-claracosta@peixoto.org,"Quadra Nascimento
Pindura Saia
06441-363 Porto / SP",11/07/1970,Feminino,091.647.285-01
Diogo,da Mata,ribeiroraquel@gmail.com,"Setor de Moreira, 80
Padre Eustáquio
02179225 Dias / AL",28/07/1994,Feminino,864.597.032-56
Isis,Lima,vieiraclara@duarte.net,"Feira Heloísa Castro, 415
Xodo-Marize
60359045 Campos / MT",05/02/1959,Feminino,092.364.158-06
Enzo,Martins,joao-guilhermenunes@campos.org,"Núcleo de Ferreira, 25
Vila Califórnia
64997-861 Nascimento dos Dourados / RJ",15/06/1943,Feminino,540.189.723-50
João Miguel,Nascimento,bryanda-costa@costa.net,"Viela Rodrigues
São Gabriel
57283-013 Melo de Pinto / RR",26/07/1975,Feminino,921.058.736-77
Laura,Nunes,raquelsales@hotmail.com,"Vila de Carvalho, 90
Santa Inês
29666-931 Aragão / MA",21/10/1949,Feminino,682.305.947-83
Lucca,Santos,vitor-hugoda-mota@porto.com,"Rua de Araújo, 508
Pindorama
57573-369 Silveira Verde / MT",22/11/1946,Feminino,387.940.256-65
Davi Lucas,Jesus,da-rosahelena@nunes.com,"Travessa Joaquim Moreira, 15
Piraja
99261875 Vieira de Pereira / MA",20/12/1998,Feminino,947.305.621-43
Murilo,Azevedo,luccapereira@ig.com.br,"Estrada da Conceição, 29
Santa Rita
99104-975 Cardoso / BA",27/02/1943,Masculino,752.819.430-14
Maria Alice,Freitas,ana-julia20@hotmail.com,"Avenida Dias
Vila Da Paz
32631-665 Silveira / BA",17/10/1961,Feminino,802.534.916-06
Clara,Santos,rodrigueselisa@yahoo.com.br,"Avenida Moura, 696
Marçola
70276-366 Teixeira da Praia / MA",10/02/1938,Masculino,039.257.461-61
Bárbara,Pires,qdias@uol.com.br,"Alameda de Peixoto, 326
Nossa Senhora Da Conceição
99501534 Silveira / TO",18/08/1979,Feminino,073.629.145-80
Vinicius,Azevedo,da-cruzhelena@cardoso.org,"Rua Henrique Moraes, 50
Jonas Veiga
87561852 Almeida do Campo / SE",24/11/1934,Feminino,561.843.029-06
Maria Sophia,Santos,silvajuliana@yahoo.com.br,"Rua Isaac Cavalcanti, 40
Serra
06288-381 Correia / ES",02/06/1968,Feminino,268.731.954-64
Luiz Henrique,Lima,nascimentojoaquim@goncalves.org,"Alameda de Campos, 605
Engenho Nogueira
89807-147 Rodrigues Grande / MS",10/04/1976,Masculino,759.480.123-79
